,transcription,emotions,audio,label
553,"Well, then let's go.","{'Anger': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F014.wav,Frustration
554,Not particularly.,"{'Anger': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,Neutral
556,"Pass what up? I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.","{'Disgust': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F017.wav,Frustration
558,Oh Augie,"{'Frustration': 0.75, 'Disgust': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F019.wav,Frustration
560,Yeah.,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F021.wav,Frustration
562,Hmm. We didn't see them the year before either.,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F023.wav,Frustration
563,That's the wind.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,Neutral
564,About what?,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,Neutral
567,"Okay. Is that, is that--","{'Excited': 0.6666666666666666, 'Surprise': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M002.wav,Happiness
572,"The flashlight, the silver one. There's only one, isn't there?",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,Neutral
573,Whose is it?,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,Neutral
574,"Oh...well. Yeah, of course.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,Neutral
575,No.,"{'Neutral': 0.6666666666666666, 'Surprise': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,Neutral
576,"Of course, our flashlight. What's yours is mine. Me flashlight es su flashlight.","{'Neutral': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,Neutral
577,"Naturally. God, how could we not think to bring it? I hope the moon stays out, though.","{'Neutral': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M012.wav,Frustration
578,Do they always run during a full moon? I don't remember. Was it full last year?,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav,Neutral
579,"Huh. Are you cold? Do you want my jacket? No? you know, we should have brought the blanket? Our blanket.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav,Neutral
580,"Aw. Do you know, I should have brought a six pack, too. A six pack, that would be just the ticket right about now. Huh?",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav,Neutral
581,"God, I'm so excited, I'm like a kid. I can't believe I got out of the house with my fly zipped up.","{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M016.wav,Happiness
583,Do you want my jacket?,"{'Neutral': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M018.wav,Frustration
585,Right.,"{'Neutral': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav,Neutral
586,"Wait, that's my point, too.","{'Neutral': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav,Neutral
587,"No, no. Okay. That's not my point. My point is there is no point in coming down here if we just turn around and go home. Don't you want to see it?","{'Anger': 0.3333333333333333, 'Frustration': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M022.wav,Frustration
588,Why not?,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.wav,Neutral
589,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this. It's just forty minutes away for us; it's too good to pass up.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.wav,Neutral
590,Yeah. But this..this moment on the beach is like the highlight of their little lives. All that flopping around is laying eggs or what to do - spawning or mating or whatever.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.wav,Neutral
591,This is a big night for these little guys. It's like life's last orgy.,"{'Excited': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.wav,Neutral
592,Yeah they do.,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M027.wav,Frustration
594,"There's like mystery here, there's magic. It's like a little bit of the unexplainable. I just can't see how you're not interested.","{'Neutral': 0.6666666666666666, 'Disgust': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.wav,Neutral
596,"God, I don't get it. you know the first time we came here, you said it was the best night of your life?",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.wav,Neutral
597,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.","{'Neutral': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.wav,Neutral
598,Ahh...we weren't in a good spot.,{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.wav,Neutral
599,"We just weren't in a good spot. I'm telling you, this is a much better spot. I have instincts for these things.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.wav,Neutral
600,"Look there, see? What's that? No, that's - that's just seaweed.","{'Excited': 0.6666666666666666, 'Surprise': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M035.wav,Happiness
601,"God, this is great. Think about this. I know you are not interested, but just think about this.",{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.wav,Happiness
603,"Just all at once, they turned and they formed this line as long as the California coast. And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.","{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M038.wav,Happiness
605,It's single mindedness with no mind. It is urgency that is just pure urge.,"{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M040.wav,Happiness
608,So what do you think?,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.wav,Happiness
609,"About all of that, about all I was talking about.","{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.wav,Happiness
610,That's the wind.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F000.wav,Neutral
611,About what?,"{'Anger': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F001.wav,Neutral
616,"Don't ask me that. I hate it when you ask me that, you always ask me that. It's insulting.","{'Anger': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F006.wav,Anger
617,We just have different ideas of what this night is supposed to look like.,"{'Frustration': 0.5, 'Disgust': 0.25, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F007.wav,Frustration
618,"For God- Grow up, Augie. The fish are not going to arrive.","{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F008.wav,Anger
619,Because they never do. Have they...Have they ever?,"{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F009.wav,Anger
620,Twice is every time we have tried; that's ever.,"{'Anger': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F010.wav,Anger
622,I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up. And the fish never show up.,"{'Frustration': 0.5, 'Disgust': 0.25, 'Anger': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F012.wav,Frustration
623,You don't understand anything I am saying.,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F013.wav,Frustration
625,"I feel like I'm always just standing here waiting. I feel like this night is going to be the night, but it never is.","{'Sadness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F015.wav,Sadness
626,"For God's sake, this is not about fish.","{'Anger': 0.75, 'Frustration': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F016.wav,Anger
627,Do you remember the first year we came here? It was like four years after we got married.,"{'Neutral': 0.6666666666666666, 'Sadness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F017.wav,Neutral
629,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them. And I remember thinking, this is it. You know, finally, I am as happy as I'm supposed to be.",{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F019.wav,Happiness
631,dancing barefoot in the sand.,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F021.wav,Frustration
632,I'd rather not remember some things. I'd rather not hope for some things.,{'Sadness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F022.wav,Sadness
633,No.,"{'Sadness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F023.wav,Neutral
635,"No, no. Nothing.","{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F025.wav,Frustration
636,No.,"{'Neutral': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F026.wav,Neutral
637,No.,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F027.wav,Frustration
639,[BREATHING],{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F029.wav,Frustration
640,This? What is this? This is nothing. This isn't even anything.,"{'Frustration': 0.6666666666666666, 'Disgust': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F030.wav,Frustration
642,"I mean this is a lot of things, but it's just...",{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F032.wav,Frustration
643,Do you understand what I am saying?,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F033.wav,Frustration
644,"I know you are Augie, I know.","{'Sadness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F034.wav,Sadness
645,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",{'Sadness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F035.wav,Sadness
646,I didn't say that.,"{'Sadness': 0.6666666666666666, 'Surprise': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F036.wav,Sadness
650,"You're the one who probably wishes he was with somebody else. Somebody who doesn't take things so seriously, who could enjoy herself.","{'Sadness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F040.wav,Sadness
651,"So maybe we are in the wrong spot, but we are with the right person.","{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F041.wav,Neutral
652,"Hmm. I noticed that, it's pretty. Big old white moon.","{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F042.wav,Happiness
653,"Augie, you bought refreshments.","{'Happiness': 0.6666666666666666, 'Surprise': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F043.wav,Happiness
654,I guess we don't need glasses.,"{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F044.wav,Happiness
655,I'm beginning to think this might be the right spot after all.,"{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F045.wav,Happiness
656,"Augie, I'm sorry.","{'Sadness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F046.wav,Sadness
657,Or not.,"{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F047.wav,Neutral
658,"Look at this, all of the hairs are standing up on my arm.","{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M000.wav,Happiness
659,"Well, so, what do you think?","{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M001.wav,Happiness
660,About what I was saying.,"{'Neutral': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M002.wav,Neutral
662,"Not just me, look at all of these people.","{'Frustration': 0.5, 'Surprise': 0.25, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M004.wav,Frustration
664,"Carla, can I ask you something? Now, don't take this the wrong way, but are you on your period?","{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M006.wav,Neutral
665,"Well then, what's bugging you?","{'Frustration': 0.5, 'Sadness': 0.25, 'Surprise': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M007.wav,Frustration
666,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing. We go ooh, ah, look at the fish and we go home.","{'Frustration': 0.5, 'Disgust': 0.25, 'Neutral': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M008.wav,Frustration
667,Why not?,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M009.wav,Frustration
668,We've missed them twice.,"{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M010.wav,Frustration
669,They'll show up this time.,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M011.wav,Frustration
671,No. Of course not.,"{'Frustration': 0.6666666666666666, 'Anger': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M013.wav,Frustration
672,"It's just fish, it's nothing to get traumatized over.","{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M014.wav,Frustration
673,Okay. I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.,{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M015.wav,Frustration
674,"Okay. So you were fine during that phone call from Marge and then dinner was okay. And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go? And I said, sure great, let's go.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M016.wav,Neutral
675,"Okay. So I am putting out the pets, getting the car out of the garage.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M017.wav,Neutral
677,"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne. I said no, time's a wasting or something like that.","{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M019.wav,Neutral
678,"That's what it is? Right? You want this to be like the other time, right?","{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M020.wav,Frustration
679,Sure. All right. Okay.,"{'Frustration': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M021.wav,Neutral
680,"Listen, do you want to dance?","{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M022.wav,Neutral
681,Do you want me to go get some champagne?,"{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M023.wav,Neutral
682,Do you want to take off your shoes?,"{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M024.wav,Happiness
684,Do you want to get married again?,"{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M026.wav,Happiness
689,"No I'm just like you. I thought it was going to be all roses and peaches and the bills would just pay themselves. And we'll have three, fat rosy cheeked children. Huh, baby, the joke's on us. Because you know what you get?","{'Frustration': 0.75, 'Sadness': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M031.wav,Frustration
690,Do you know what you get? You get this.,"{'Anger': 0.25, 'Frustration': 0.5, 'Sadness': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M032.wav,Frustration
691,Yes it is.,"{'Neutral': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M033.wav,Neutral
693,[BREATHING],{'Frustration': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M035.wav,Frustration
694,I'm doing the best I can.,"{'Frustration': 0.6666666666666666, 'Sadness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M036.wav,Frustration
695,"Maybe if you were with someone else, too.",{'Sadness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M037.wav,Sadness
696,I just- I know I don't make you happy.,"{'Sadness': 0.6666666666666666, 'Frustration': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M038.wav,Sadness
698,"You know, actually now that you mention it, no I don't.",{'Neutral': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M040.wav,Neutral
699,"I don't know, it seemed like such a good spot to me.","{'Frustration': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M041.wav,Frustration
700,"We have a great view of the moon from here, though, huh?","{'Neutral': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M042.wav,Neutral
701,[BREATHING],"{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M043.wav,Neutral
702,And look what I got here.,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M044.wav,Happiness
704,[BREATHING],"{'Happiness': 0.6666666666666666, 'Neutral': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M046.wav,Happiness
705,Do you want to go home? Are you cold?,"{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M047.wav,Neutral
706,"Shh. If we're very quiet, the fish might come.","{'Happiness': 0.3333333333333333, 'Neutral': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M048.wav,Neutral
707,Or not.,{'Happiness': 1.0},IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_M049.wav,Happiness
713,[LAUGHTER] That sent shivers up my spine.,"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F005.wav,Happiness
714,We'll behave exquisitely.,"{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F006.wav,Happiness
715,I think I shall do a curtsy.,"{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F007.wav,Happiness
718,Yes. Meaning just that.,"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F010.wav,Happiness
719,Don't laugh at me. I'm being serious.,"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F011.wav,Happiness
720,Who's they?,"{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F012.wav,Happiness
728,[LAUGHTER],"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F020.wav,Happiness
729,"Oh Elliott, worms don't pop.","{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F021.wav,Happiness
730,"Aw. Thank you, darling. The same applies to you too, except that if you so much as look at another woman I'll kill you.","{'Excited': 0.25, 'Happiness': 0.5, 'Frustration': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F022.wav,Happiness
732,"Oh Charles, that was his name. He did wiggle so beautifully.","{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F024.wav,Happiness
737,"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER] How utterly, utterly ridiculous.","{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F029.wav,Happiness
738,[LAUGHTER] And very much sillier.,"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_F030.wav,Happiness
745,I don't care then.,"{'Excited': 0.6666666666666666, 'Happiness': 0.3333333333333333}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_M005.wav,Happiness
747,No. Wrong number. [LAUGHTER],"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_M007.wav,Happiness
748,What shall we do if they suddenly walk in on us.[LAUGHTER],"{'Excited': 0.25, 'Happiness': 0.5, 'Surprise': 0.25}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_M008.wav,Happiness
749,With perfect poise.,"{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_M009.wav,Happiness
750,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy. Do they?","{'Excited': 0.3333333333333333, 'Happiness': 0.6666666666666666}",IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_1/Ses01F_script03_1_M010.wav,Happiness
